StatisticCrimeGroupCode,StatisticCrimeGroupName,StatisticCrimeTypeCode,StatisticCrimeTypeName,CrimeName,SensitivityFlag
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,הסתה להשתמטות,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,מתן מקלט,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,כניסה למקום צבאי ע'מ לפגוע במדינה,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,כניסה למקום צבאי,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,מעשה הכנה ע'מ לפגוע בבטחון המדינה,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,פגיעה ביחסי חוץ,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,גיוס תושב בישראל לכח זר,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,שימוש בכלי יריה שלא כחוק,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,נשיאת נשק או חמרי נפץ ללא היתר,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,חבירה לקבוצה שביצעו עבירה,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,החזקת נשק ללא רשיון,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,החזקת כלי או חפץ המסוגל לגרום מוות,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,"יצור נשק, תחמושת או חומר נפץ",1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,מאמן אחרים אימון צבאי,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,אימון צבאי בלא היתר,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,"חיזוק ידיים, סיוע",
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,שפיטה בבית משפט שלום,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,איסור מסחר בכלי יריה,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,איסור מסחר בכלי יריה,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,הפרת תנאי רשיון לכלי יריה,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,החזקה ועיסוק בכלי יריה שלא כחוק,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,זריעת בהלה או יאוש,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,הפצת ידיעה ברבים,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,סיכון בטחון המדינה,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,חריגת מסמכות עד לפגיעה בבטחון שלא,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,השתמטות משירות בטענות שוא,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,השתמטות מפעולה קרבית,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,רשלנות לגבי תעודות,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,אי קיום פקודה,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,אי מניעת עבירה,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,אי מניעת עבירה,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,אי מניעת עבירה,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,קשר לעבור עבירה,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,גרימת מות או בצוע חבלה במתקן צה'ל,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,"נשיאת נשק,תחמושת או חומרי חבלה",1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,חברות בקבוצה שחבריה עברו על סעיף מד,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,"החזקת נשק,תחמושת או חמרי חבלה",1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,"יצור נשק,תחמושת או חמרי חבלה",1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,נסיון לפגוע ברכוש מדינת ישראל וצה'ל,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,חבלה ברכוש מדינת ישראל או צה'ל,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,חברות בקבוצה שחבריה עברו על סעיף מו,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,התחזות לעובד צבור,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,מתן מקלט לעוברים על צו זה,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,אי מניעת פשע,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,מניעת בצוע תפקידי צה'ל,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,פגיעה בכשירות חיל,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,ירי לצורך נסוי,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,גרימת נזק לרכוש,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,איסור מגע עם אויב,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,עלבון לרשויות צה'ל או לסמליהן,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,איום על אחר,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,כניסה למקום מוגבל או הטעית שומר,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,אחזקת ציוד צבאי,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,"קניה,החלפה או קבלה של ציוד צבאי",
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,הוצאת ציוד צבאי שלא כדין,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,בריחה ממשמורת,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,אי מניעת עבירה,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,התחמקות מתשלום,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,סרוב לעצור כלי רכב,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,הפרת צוי הגבלה,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,הפרת צו פקוח מיוחד,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,תקיפה,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,הפרת סדר ומשמעת בזמן מעצר מנהלי,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,הפרת צו תנועה ותעבורה,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,עבירות בקשר לציוד צבאי,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,כניסה לשטח סגור,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,הפרת צו פתיחת מקומות וסגירתם,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,בריחה ממשמורת,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,איומים,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,אי התיצבות,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,פעילות בארגון טרור,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,השתייכות לאירגון טרוריסטי,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,העמדת חפץ לרשות אירגון טרור,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,תמיכה בארגון טרוריסטי,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,חיפוי על עבירה,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,פגיעה זדונית ברכוש הצבא,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,פגיעה מתוך רשלנות ברכוש צבא,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,הסתה להשתמטות מצבא או מפעולה,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,הסתה לעריקה,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,כניסה לא מוסמכת למקום צבאי,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,כניסה למקום צבאי במגמה לפגוע,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,מעשה הכנה ע'י מסמך מזוייף,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,שמוש לא מוסמך במסמך רשמי,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,שמוש בטענות שוא,1
